,userName,content,score
355,Aryangga Reynaldi Danuartha,terima kasih tiktok apk yg bagus bisa liat kayes joged dan cewek lainya live streaming nya juga mantap mantap kurangan mereka pakek bh aja tiktok terima kasih ya,5
356,Tere Radiska,aplikasi yang sangat bermanfaat semoga makin sukses dan berkah selalu terimakasih tiktok,5
357,Bocil Sultan,akun di kunci udah kirim data data akunya tidak pernah di urus paling di bls email suruh kirim data mulu padahal udah kecewaa bgt,1
358,Rafi Freefire,wowapk ini sangat baguskepada pihak garena bisa di tingkatkan lagiselebihnya bagus sih moontonmemang mantap lah tencent,1
359,Kim Rahman,kenapa nggak bisa live 9 komal kok yang lain bisa kenapa kita nggak bisa ayolah update ke 9 komal please,3
360,Putri Zahra,tolong dong jangan macet lagiga bisa bikin vt ga bisa edit profil juga kenapa sih,3
361,Edy Susanto,aplikasi gak mutu main blok aja unistall males bikin account baru gue bikin cuma buat awasi anak fix satu keluarga unistall gak butuh tiktok yg bilang kalian dpt coin jng percaya diboongin coin gue ilang sendiri,1
362,Deco Rizio,kenapa video saat di refresh videonya gak bisa yang lain terus ajah yang ada,1
363,Anis Clack,gk bagus banget app ini masah sih akun saya di blokir kan saya gk ngapa ngapain saya kesel banget saya udah daftar berkali kali tapi gk ada hasil nia mohon di perbaiki app ini karna saya juga ingin bermain tik tok seperti orang lain juga,1
364,Pengguna Google,hai perkenalkan nama saya hasna aulia aku suka bangt tik tok kalian langsung donwlod aplikasi tik tok gak akan nyesel deh kalian bisa menggunakan aplikasi tik tok dengan bersenang senag terimakasih aplikasi tik tok,5
365,Feldiano Ximenes,aplikasinya bagus banget dan bisa membuat orang banyak bisa menunjukkan bakat mereka masingmasing di tik tok,5
366,Kafka Bilal Aidan,aplikasi ini sangat menghibur tetap maju kan program baru di tik tok,5
367,Raya putry Puput,aplikasi tiktok saya terhapus trus saya coba mendownload lagi enggak bisa gimna caranya yah,5
368,Pengguna Google,dengan hormat kepada pihak musically saya kecewa dengan adanya pembaruan inimungkin bukan saya aja yang kecewa dengan adanya pembaruan inikami mohon maaf sekaliapakah musically bisa dikembalikanmaaf bila ada salah kata,2
369,Alwan officiall,bagusi tapi ngedonload nya lama tapi kalo nanti nanti cuma sebentar aku kasih 5sama lagi udah 24 mnt kok masih 11padahal jaringan bagus,1
370,Pengguna Google,bagus sihtapi hampir semua lagu indiadj nya cuma sedikit tolong diperbaiki,4
371,Pengguna Google,saya lebih memilih musically yg duluplis deh gosah di campur2tik tok di campur musically mau jadi apaplis kembalikan musical kami yg dulu bukan yg skrg,1
372,Pengguna Google,bagus sih aplikasinyatp terkadang kena blok padahal ga ada yg melanggartp yg keliatan cd nya sam tetek aman,5
373,Pengguna Google,sumpah nyesel bngt upgratny kirain pas udh dupgrt tambah bangus ehhh malah ga jls mana ga bisa pke lgu sndiri lagitruss knp fariasiny ga sbnyak di ip dri awalny mc ehh mlh jdi tik tok trpksa aj pke apk in krna hobi klo bisa tolonggg diperbaiki seperti dulu,2
374,Diadi 098,aplikasinya cukup baguscman krna z bkn penilai aplikasi atau lain sebagainyajadi aplikasi q kasih bintang lima ajh gitu,5
375,Tanio Repal,ini sangat bagus zangan rupa danlout nia wa karena ini bisa buat apa papa ini sangat bagus jangan rupa wa kasi binta lima sungu ini sagat bagus sebelum masuk daftar dulu wa,5
376,Fajar Anton Maryanto,gak bisa update aplikasigak bisa unggah videokomplit pokoknya mah,5
377,Nani wasan,saya tidak bisa merkam lagu yang ada di tik tok saya tidak bisa levsing lagu lagui cant levsing songs,1
378,frsd,tiktok makin bagus kalau bisa banyakbanyak gratis ongkir ya,5
379,Utjang Gryt,makasih tik tok semoga kita semua bisa terhibur dan menyalurkan bakat dan juga saling menguntungkan,5
380,Cindy Cecilia,download nya 73mb pas udah terpasang dan liat video tbtb 1gb lebih need bgt buat hp kapasitas kecil,1
381,Rafi Azam Malpaci,kasih fitur cadangkan tema fyp dong jdi kalo uninstall terus di instal lagi jadi sama fypnya kayak sebelum di install jdi ga perlu menyesuaikan lgi,4
382,Pengguna Google,sebetulnya sii suka sma apl ini cuma yaa krna di gabung transisi sudah spt tdk dihargai klo bisa sii ya saran saya logo tiktok dab musically setengah setengah sja jgn smua logo tiktok mksihh,4
383,Marianu da Costa,baru baru ini sih agak jelek dikit yasoalnya jaringan saya baguskok jalannya lambat banget,1
384,Bambang Samiaji,apk nya suka keluar sendiri pas upload suka gagal mohon di perbaiki,1
385,Bayu DharmaTrinanda,terimakasih tiktokkarena hiburan di aplikasi ini membuat penyakit saya mulai membaik dan saya juga sudah bisa mem,5
386,argivani argun,aplikasi yang sangat bagus bisa ngobrol sama temanteman curhatcurhat bisa ketawa,5
387,Aldy RaQalele,sya sangat terhibur kerika menonton tiktok karena disitu ada video yang sangat menarik,5
388,Maria Octaviana,update filter yang lebih bagus lagisesuaidengan musik di tiktok,5
389,GiveMe SeeGod,tolong kasih di fitur live stremingnya diberi pilihan grafik fhd hd sd jadi ga burik burik di hp panjang2 jaman sekarang apalagi ini live rata2 pada jualan jd nontonnya lihat barang jd bagus,3
390,Algero Barokah Gomes,tiktok ini keren banget bisa belajar bisa ketawa juga pokonya banyak da 1112 lah sama youtube,5
391,official Armansyah,gila parah bgt tiktok sekarang upload video dr mlm sampe pagi gak ada like views n coment sama sekali parah bgt gak ngerti lagi sama algoritma tiktok,1
392,Rina Roslina,saya mau akun saya yg udah lama bisa kembali lagi soal nya saya udah coba berapa kali kata sandi salah terus dan nomor telepon sama emailnya sudah tidak aktif semoga bisa kembali lagi akunnya,5
393,F5X,hallo saya sangat kecewa sama tiktok karena saya sudah punya akun facebook tadi aku mau login gak muncul muncul tolong perbaiki,1
394,ozho jabra,aplikasi ini sangat penting untuk menghibur dan menarik setiap waktu kesedihan,5
395,Sisan Ismail,aplikasi ini sangat bagus dan menghibur tapi sayang hp sya kentang jdi memorinya cepat penuh,5
396,Neli Wulansari,banyak ilmu yang didapat dan untuk pengalaman kita disetiap waktu bisa disimpan dengan aman,5
397,Pengguna Google,filter ada yang tidak bisa dipakai walaupun sudah di update berulang kali,4
